OBJECTID,INSTALLED,UPGRADED,INFRA_HIGHORDER
1,2001,2021,Shared Roadways
2,2001,2009,Protected Lanes
3,2001,2011,Protected Lanes
4,2001,2011,Protected Lanes
5,2001,2012,Protected Lanes
6,2001,2012,Protected Lanes
7,2001,2012,Protected Lanes
8,2001,2021,Protected Lanes
9,2001,2015,Protected Lanes
10,2001,2015,Protected Lanes
11,2001,2015,Protected Lanes
12,2001,2015,Shared Roadways
13,2001,2015,Shared Roadways
14,2001,2015,Shared Roadways
15,2001,2015,Shared Roadways
16,2001,2015,Shared Roadways
17,2001,2015,On-Road Lanes
18,2001,2015,On-Road Lanes
19,2001,2015,On-Road Lanes
20,2001,2015,Shared Roadways
21,2001,2015,Shared Roadways
22,2001,2015,Protected Lanes
23,2001,2015,Protected Lanes
24,2001,2015,Protected Lanes
25,2001,NA,Protected Lanes
26,2001,2017,Protected Lanes
27,2001,2014,Protected Lanes
28,2001,2015,Protected Lanes
29,2001,2015,Protected Lanes
30,2001,2015,Protected Lanes
31,2001,2015,Protected Lanes
32,2001,2015,Protected Lanes
33,2001,2015,Protected Lanes
34,2001,2015,Protected Lanes
35,2001,2015,Protected Lanes
36,2001,2015,Protected Lanes
37,2001,2015,Protected Lanes
38,2001,NA,Protected Lanes
39,2001,2016,On-Road Lanes
40,2001,2016,On-Road Lanes
41,2001,2016,Protected Lanes
42,2001,2016,On-Road Lanes
43,2001,2016,On-Road Lanes
44,2001,2016,On-Road Lanes
45,2001,NA,On-Road Lanes
46,2001,2017,Protected Lanes
47,2001,NA,Shared Roadways
48,2001,NA,Shared Roadways
49,2001,2017,Shared Roadways
50,2001,NA,Protected Lanes
51,2001,NA,Protected Lanes
52,2001,NA,Protected Lanes
53,2001,NA,Protected Lanes
54,2001,NA,Protected Lanes
55,2001,NA,Protected Lanes
56,2001,NA,Protected Lanes
57,2001,NA,Protected Lanes
58,2001,NA,Protected Lanes
59,2001,NA,Protected Lanes
60,2001,NA,Protected Lanes
61,2001,NA,Protected Lanes
62,2001,NA,Protected Lanes
63,2001,NA,Protected Lanes
64,2001,NA,Protected Lanes
65,2001,NA,Protected Lanes
66,2001,NA,Protected Lanes
67,2001,NA,Protected Lanes
68,2001,NA,Shared Roadways
69,2001,2016,On-Road Lanes
70,2001,2016,On-Road Lanes
71,2001,NA,On-Road Lanes
72,2001,NA,On-Road Lanes
73,2001,2016,On-Road Lanes
74,2001,NA,On-Road Lanes
75,2001,1,On-Road Lanes
76,2001,NA,Protected Lanes
77,2001,NA,Protected Lanes
78,2001,NA,Protected Lanes
79,2001,NA,Protected Lanes
80,2001,NA,Protected Lanes
81,2001,NA,Protected Lanes
82,2001,NA,Protected Lanes
83,2001,NA,Protected Lanes
84,2001,NA,Protected Lanes
85,2001,NA,Protected Lanes
86,2001,NA,Protected Lanes
87,2001,NA,Protected Lanes
88,2001,NA,Protected Lanes
89,2001,2015,Protected Lanes
90,2001,2016,On-Road Lanes
91,2001,2015,Shared Roadways
92,2001,2015,Shared Roadways
93,2001,2015,Shared Roadways
94,2001,2015,Protected Lanes
95,2001,2017,Protected Lanes
96,2001,2015,Protected Lanes
97,2001,2015,Shared Roadways
98,2001,2015,Protected Lanes
99,2001,2015,Protected Lanes
100,2001,2015,Protected Lanes
101,2001,2015,Shared Roadways
102,2001,2015,Protected Lanes
103,2001,2020,Protected Lanes
104,2001,NA,Protected Lanes
105,2001,NA,Protected Lanes
106,2001,NA,Protected Lanes
107,2001,NA,Protected Lanes
108,2001,NA,Protected Lanes
109,2001,NA,Protected Lanes
110,2001,NA,Protected Lanes
111,2001,NA,Protected Lanes
112,2001,NA,Protected Lanes
113,2001,NA,Protected Lanes
114,2001,NA,Protected Lanes
115,2001,NA,Protected Lanes
116,2001,NA,Protected Lanes
117,2001,NA,Protected Lanes
118,2001,NA,Protected Lanes
119,2001,NA,Protected Lanes
120,2001,NA,Protected Lanes
121,2001,NA,Protected Lanes
122,2001,NA,Protected Lanes
123,2001,NA,Protected Lanes
124,2001,NA,Protected Lanes
125,2001,NA,Protected Lanes
126,2001,NA,Protected Lanes
127,2001,NA,Protected Lanes
128,2001,NA,Protected Lanes
129,2001,NA,Protected Lanes
130,2001,NA,Protected Lanes
131,2001,NA,Protected Lanes
132,2001,NA,Protected Lanes
133,2001,NA,Protected Lanes
134,2001,NA,Protected Lanes
135,2001,NA,Protected Lanes
136,2001,NA,Protected Lanes
137,2001,NA,Protected Lanes
138,2001,NA,Protected Lanes
139,2001,NA,Protected Lanes
140,2001,NA,Protected Lanes
141,2001,NA,Protected Lanes
142,2001,NA,Protected Lanes
143,2001,NA,Protected Lanes
144,2001,NA,Protected Lanes
145,2001,NA,Protected Lanes
146,2001,NA,Protected Lanes
147,2001,NA,Protected Lanes
148,2001,2017,Protected Lanes
149,2001,NA,Protected Lanes
150,2001,NA,Protected Lanes
151,2001,NA,Protected Lanes
152,2001,NA,Protected Lanes
153,2001,NA,Protected Lanes
154,2001,NA,Protected Lanes
155,2001,NA,Protected Lanes
156,2001,NA,Protected Lanes
157,2001,NA,Protected Lanes
158,2001,NA,Protected Lanes
159,2001,NA,Protected Lanes
160,2001,NA,Protected Lanes
161,2001,NA,Protected Lanes
162,2001,NA,Protected Lanes
163,2001,NA,Protected Lanes
164,2001,NA,Shared Roadways
165,2001,NA,Shared Roadways
166,2001,NA,Shared Roadways
167,2001,NA,Shared Roadways
168,2001,NA,Shared Roadways
169,2001,NA,Shared Roadways
170,2001,NA,Protected Lanes
171,2001,NA,Protected Lanes
172,2001,NA,Protected Lanes
173,2001,NA,Protected Lanes
174,2001,NA,Protected Lanes
175,2001,NA,Protected Lanes
176,2001,NA,Protected Lanes
177,2001,NA,Protected Lanes
178,2001,NA,Protected Lanes
179,2001,NA,Protected Lanes
180,2001,NA,Protected Lanes
181,2001,NA,Protected Lanes
182,2001,NA,Protected Lanes
183,2001,NA,Protected Lanes
184,2001,NA,Protected Lanes
185,2001,NA,Protected Lanes
186,2001,NA,Protected Lanes
187,2001,NA,Protected Lanes
188,2001,NA,Protected Lanes
189,2001,NA,Protected Lanes
190,2001,NA,Protected Lanes
191,2001,NA,Protected Lanes
192,2001,NA,Protected Lanes
193,2001,NA,Protected Lanes
194,2001,NA,Protected Lanes
195,2001,NA,Protected Lanes
196,2001,NA,Protected Lanes
197,2001,NA,Protected Lanes
198,2001,NA,Protected Lanes
199,2001,NA,Protected Lanes
200,2001,NA,Protected Lanes
201,2001,NA,Protected Lanes
202,2001,NA,Protected Lanes
203,2001,NA,Protected Lanes
204,2001,NA,Protected Lanes
205,2001,NA,Shared Roadways
206,2001,NA,Shared Roadways
207,2001,NA,Protected Lanes
208,2001,NA,Protected Lanes
209,2001,NA,Protected Lanes
210,2001,NA,Protected Lanes
211,2001,NA,Protected Lanes
212,2001,NA,Protected Lanes
213,2001,NA,Protected Lanes
214,2001,NA,Protected Lanes
215,2001,NA,Protected Lanes
216,2001,NA,Protected Lanes
217,2001,NA,Protected Lanes
218,2001,NA,Protected Lanes
219,2001,NA,Protected Lanes
220,2001,NA,Protected Lanes
221,2001,2015,Shared Roadways
222,2001,NA,Protected Lanes
223,2001,NA,Protected Lanes
224,2001,NA,Shared Roadways
225,2001,NA,Shared Roadways
226,2001,NA,Protected Lanes
227,2001,NA,Shared Roadways
228,2001,NA,Protected Lanes
229,2001,NA,Protected Lanes
230,2001,NA,Protected Lanes
231,2001,NA,Protected Lanes
232,2001,NA,Protected Lanes
233,2001,NA,Protected Lanes
234,2001,NA,Protected Lanes
235,2001,NA,Protected Lanes
236,2001,2021,On-Road Lanes
237,2001,NA,Shared Roadways
238,2001,NA,Shared Roadways
239,2001,NA,Shared Roadways
240,2001,NA,On-Road Lanes
241,2001,NA,Protected Lanes
242,2001,NA,Protected Lanes
243,2001,NA,Protected Lanes
244,2001,NA,Protected Lanes
245,2001,NA,Protected Lanes
246,2001,NA,Protected Lanes
247,2001,NA,Protected Lanes
248,2001,2017,Protected Lanes
249,2001,NA,Protected Lanes
250,2001,NA,Shared Roadways
251,2001,NA,Protected Lanes
252,2001,NA,Protected Lanes
253,2001,NA,Protected Lanes
254,2001,NA,Protected Lanes
255,2001,NA,Protected Lanes
256,2001,NA,Protected Lanes
257,2001,NA,Protected Lanes
258,2001,NA,Protected Lanes
259,2001,NA,Shared Roadways
260,2001,NA,Shared Roadways
261,2001,NA,Shared Roadways
262,2001,NA,Shared Roadways
263,2001,NA,Shared Roadways
264,2001,2020,Shared Roadways
265,2001,NA,Shared Roadways
266,2001,NA,Shared Roadways
267,2001,NA,Shared Roadways
